0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
7	3e-04	0.0026	0.0122	0.0083	0.0023	0.0096	0.0056	0.0053	0.005	0.0024	0.0053	0.0089	3e-04	1e-04	1e-04	1e-04	1e-04
8	4e-04	0.0057	0.0178	0.0119	0.0079	0.0122	0.0062	0.0075	0.0072	0.0022	0.0066	0.0085	1e-04	1e-04	1e-04	1e-04	1e-04
9	4e-04	0.0069	0.0228	0.0165	0.0091	0.0139	0.0069	0.0091	0.0098	0.0024	0.0054	0.0032	0.0028	1e-04	1e-04	1e-04	1e-04
10	3e-04	0.0052	0.0155	0.0084	0.004	0.0085	0.0046	0.0045	0.0073	0.0017	8e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
11	6e-04	0.0107	0.0346	0.0176	0.0154	0.0187	0.0118	0.0117	0.0092	0.0027	0.0113	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
12	5e-04	0.0106	0.0263	0.0178	0.0089	0.0129	0.0057	0.0039	0.0124	0.0059	0.0619	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
13	0.0013	0.0084	0.02	0.0111	0.0073	0.0087	0.0051	0.0014	6e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
14	0.0018	0.0085	0.0223	0.0087	0.0051	0.0096	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
15	0.001	0.0049	0.0074	0.0016	1e-04	2e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
16	0.0074	0.0022	0.0068	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
17	0.0058	0.0033	0.0051	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
18	0.0074	0.0062	0.0036	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
19	0.0052	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
20	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
21	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
22	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
23	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
