0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
7	0.0026	4e-04	0.0053	0.0145	0.003	0.0162	0.0085	0.0153	0.0077	0.0263	0.0066	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
8	0.0041	7e-04	0.0047	0.0231	0.0093	0.0226	0.0063	0.0225	0.0093	0.0068	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
9	0.0053	3e-04	0.0076	0.0361	0.0158	0.0274	0.0071	0.0179	0.0326	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
10	0.0059	4e-04	0.0098	0.0298	0.0085	0.0111	0.0037	0.0035	0.03	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
11	0.008	0.0013	0.0108	0.0409	0.0117	0.0202	0.0039	0.0387	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
12	0.0055	0.0015	0.0125	0.0357	0.0249	0.0254	0.0106	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
13	0.0077	0.0198	0.0168	0.0061	2e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
14	0.0148	0.0259	0.0125	8e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
15	0.0084	0.0099	4e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
16	0.015	2e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
17	9e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
18	0.0309	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
19	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
20	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
21	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
22	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
23	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04	1e-04
